covered 103 missing 258
154	cuoc-tien-cong-chien-luoc-dong-xuan-1953-1954	Cuộc Tiến công chiến lược Đông - Xuân 1953 - 1954	Đông - Xuân 1953 - 1954
155	cai-cach-ruong-dat-mien-bac	Hoàn thành cải cách ruộng đất, khôi phục kinh tế ở miền Bắc	1954 - 1960
156	chien-tranh-bao-ve-doc-lap-dan-toc-va-chu-quyen-quoc-gia-o-dong-duong	Chiến tranh bảo vệ độc lập dân tộc và chủ quyền quốc gia ở Đông Dương	1954 - 1975
157	giai-doan-khang-chien-chong-my-1954-1960	Giai đoạn 1954 - 1960 của cuộc kháng chiến chống Mỹ, cứu nước	1954 - 1960
158	khang-chien-chong-my-cuu-nuoc	Cuộc kháng chiến chống Mỹ, cứu nước	1954-1975
159	mien-bac-viet-nam-giai-phong-xay-dung-cnxh	Miền Bắc Việt Nam được giải phóng và đi theo con đường xây dựng chủ nghĩa xã hội	1954
160	my-can-thiep-vao-dong-duong	Mỹ can thiệp vào Đông Dương	Từ năm 1954
161	my-thay-chan-phap-dung-chinh-quyen-ngo-dinh-diem	Mỹ thay chân Pháp, dựng chính quyền Ngô Đình Diệm	Sau Hiệp định Giơ-ne-vơ (1954)
162	quan-li-hanh-chinh-chinh-quyen-sai-gon-hoang-sa-truong-sa	Quản lí hành chính của chính quyền Sài Gòn đối với quần đảo Hoàng Sa và quần đảo Trường Sa	Từ năm 1954 đến năm 1975
163	viet-nam-tam-thoi-bi-chia-cat-hai-mien	Việt Nam tạm thời bị chia cắt làm hai miền	Sau Hiệp định Giơ-ne-vơ (1954)
164	lien-xo-vien-tro-cho-viet-nam	Liên Xô viện trợ cho Việt Nam	1955 - 1975
165	ho-chi-minh-chu-tich-tong-bi-thu-dang-lao-dong-1956	Chủ tịch Hồ Chí Minh là Chủ tịch Đảng, kiêm Tổng Bí thư Đảng Lao động Việt Nam	Tháng 10 – 1956
166	dai-loan-chiem-dong-dao-ba-binh-truong-sa	Đài Loan chiếm đóng đảo Ba Bình thuộc quần đảo Trường Sa	Năm 1956
167	philippin-tuyen-bo-quyen-khai-thac-lap-nghiep-truong-sa	Phi-líp-pin tuyên bố có quyền khai thác, lập nghiệp tại nhóm đảo Trường Sa	Năm 1956
168	viet-nam-danh-chiem-nua-phia-dong-hoang-sa	Việt Nam (chính quyền Sài Gòn) đánh chiếm nửa phía đông của quần đảo Hoàng Sa (nhóm An Vĩnh)	Năm 1956
169	hoi-nghi-ban-chap-hanh-trung-uong-lan-thu-15-dang-lao-dong-viet-nam	Hội nghị Ban Chấp hành Trung ương lần thứ 15 của Đảng Lao động Việt Nam	Tháng 1 – 1959
170	dai-hoi-dai-bieu-toan-quoc-lan-thu-iii-dang-lao-dong-viet-nam	Đại hội đại biểu toàn quốc lần thứ III Đảng Lao động Việt Nam	Tháng 9 – 1960
171	thanh-lap-mat-tran-dan-toc-giai-phong-mien-nam-viet-nam	Thành lập Mặt trận Dân tộc giải phóng miền Nam Việt Nam	20 – 12 – 1960
172	thanh-lap-quan-giai-phong-mien-nam	Thành lập Quân Giải phóng miền Nam	Ngày 15 – 2 – 1961
173	chu-tich-ho-chi-minh-tham-quan-cang-bai-chay-1961	Chủ tịch Hồ Chí Minh thăm Quân cảng Bãi Cháy và căn dặn về bảo vệ biển	Năm 1961
174	ke-hoach-nha-nuoc-5-nam-lan-thu-nhat-mien-bac	Kế hoạch Nhà nước 5 năm lần thứ nhất (1961-1965) ở miền Bắc	1961 - 1965
175	chien-thang-ap-bac	Chiến thắng Ấp Bắc	Tháng 1 – 1963
176	chien-tranh-pha-hoai-mien-bac-lan-thu-nhat	Chiến tranh phá hoại miền Bắc lần thứ nhất của Mỹ	Tháng 8 – 1964 – 1968
177	cac-chien-thang-quan-su-1964-1965	Các chiến thắng quân sự 1964-1965	1964 – 1965
178	chien-thang-van-tuong	Chiến thắng Vạn Tường	18 – 8 – 1965
179	hoi-nghi-pa-ri-ve-viet-nam	Hội nghị Pa-ri về Việt Nam	1968 – 27-1-1973
180	thanh-lap-chinh-phu-cach-mang-lam-thoi-cong-hoa-mien-nam-viet-nam	Thành lập Chính phủ cách mạng lâm thời Cộng hoà miền Nam Việt Nam	Ngày 6-6-1969
181	dap-tan-cuoc-hanh-quan-xam-luoc-vao-cam-pu-chia-1970	Đập tan cuộc hành quân xâm lược của Mỹ và quân đội Sài Gòn vào Cam-pu-chia	Từ ngày 30 – 4 đến ngày 30-6-1970
182	hoi-nghi-cap-cao-ba-nuoc-viet-nam-lao-cam-pu-chia	Hội nghị cấp cao ba nước Việt Nam - Lào - Cam-pu-chia	Tháng 4 – 1970
183	chien-dich-duong-9-nam-lao	Chiến dịch Đường 9 – Nam Lào	Từ tháng 2 đến tháng 3 – 1971
184	philippin-chiem-dong-9-dao-truong-sa	Phi-líp-pin chiếm đóng 9 đảo thuộc quần đảo Trường Sa	Từ năm 1971 đến năm 1980
185	cuoc-tien-cong-chien-luoc-nam-1972	Cuộc Tiến công chiến lược năm 1972	Từ tháng 3 – 1972
186	chien-tranh-pha-hoai-mien-bac-lan-thu-hai	Chiến tranh phá hoại miền Bắc lần thứ hai của Mỹ	Từ ngày 16-4-1972 đến 29-12-1972
187	hoi-nghi-ban-chap-hanh-trung-uong-dang-lan-thu-21	Hội nghị Ban Chấp hành Trung ương Đảng lần thứ 21	Tháng 7 – 1973
188	quan-doi-sai-gon-that-bai-bao-ve-hoang-sa	Quân đội Sài Gòn thất bại trong chiến đấu bảo vệ quần đảo Hoàng Sa	Tháng 1 năm 1974
189	trung-quoc-danh-chiem-toan-bo-hoang-sa	Trung Quốc đánh chiếm toàn bộ quần đảo Hoàng Sa	Tháng 1 năm 1974
190	chien-thang-duong-14-phuoc-long	Chiến thắng Đường 14 Phước Long	Cuối năm 1974, đầu năm 1975
191	chien-dich-tay-nguyen-1975	Chiến dịch Tây Nguyên	Từ ngày 10 – 3 đến ngày 24 – 3 – 1975
192	giai-phong-hue-va-thua-thien	Giải phóng thành phố Huế và toàn tỉnh Thừa Thiên	Ngày 26 – 3 – 1975
193	giai-phong-da-nang	Giải phóng Đà Nẵng	Chiều 29 – 3 – 1975
